Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
ZTS,ACT_SL,2016-08-15 00:00:00,N/A,36.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.74
ZTS,ACT_SL,2016-10-10 00:00:00,N/A,36.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.08
ZTS,ACT_SL,2016-12-19 00:00:00,N/A,37.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.61
ZTS,ACT_SL,2016-12-26 00:00:00,N/A,37.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.86
ZTS,ACT_SL,2017-01-02 00:00:00,N/A,37.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.26
ZTS,ACT_SL,2017-01-23 00:00:00,N/A,38.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.33
ZTS,ACT_SL,2017-01-30 00:00:00,N/A,38.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.29
ZTS,ACT_SL,2017-02-06 00:00:00,N/A,39.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.58
ZTS,ACT_SL,2017-04-24 00:00:00,N/A,39.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.76
ZTS,ACT_SL,2017-05-01 00:00:00,N/A,39.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.84
ZTS,ACT_SL,2017-05-08 00:00:00,N/A,41.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.26
ZTS,ACT_SL,2017-05-15 00:00:00,N/A,42.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.55
ZTS,ACT_SL,2017-05-22 00:00:00,N/A,42.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.3
ZTS,ACT_SL,2017-05-29 00:00:00,N/A,44.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.44
ZTS,ACT_SL,2017-06-05 00:00:00,N/A,44.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.56
ZTS,ACT_SL,2017-06-19 00:00:00,N/A,44.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.9
ZTS,ACT_SL,2017-09-04 00:00:00,N/A,44.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.79
ZTS,ACT_SL,2017-09-11 00:00:00,N/A,45.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.29
ZTS,ACT_SL,2017-10-16 00:00:00,N/A,46.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.48
ZTS,ACT_SL,2017-10-23 00:00:00,N/A,46.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.66
ZTS,ACT_SL,2017-10-30 00:00:00,N/A,46.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.38
ZTS,ACT_SL,2017-11-06 00:00:00,N/A,48.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49.56
ZTS,ACT_SL,2017-11-13 00:00:00,N/A,49.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.08
ZTS,ACT_SL,2017-11-20 00:00:00,N/A,50.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.8
ZTS,ACT_SL,2017-11-27 00:00:00,N/A,50.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.2
ZTS,ACT_SL,2017-12-04 00:00:00,N/A,51.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.26
ZTS,ACT_SL,2017-12-11 00:00:00,N/A,51.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.4
ZTS,ACT_SL,2017-12-18 00:00:00,N/A,51.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.82
ZTS,ACT_SL,2018-01-01 00:00:00,N/A,51.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.06
ZTS,ACT_SL,2018-01-08 00:00:00,N/A,52.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.3
